bnf_code,bnf_name,formulation_descr
0913011C0BBAAAH,Aymes Shake powder 57g sachets banana,liquidfood.oral
0913011C0BBAFAH,Aymes Shake powder 57g sachets strawberry,liquidfood.oral
0913011C0BBAGAH,Aymes Shake powder 57g sachets vanilla,liquidfood.oral
0913011F0BBAAAA,Aymes Shake Compact powder 57g sachets banana,liquidfood.oral
0913011E0BEAAAD,Scandishake Mix oral powder 85g sachets banana,liquidfood.oral
0913011E0BEAAAD,Scandishake Mix oral powder 85g sachets banana,powderfoodmix.oral
0913011C0BBACAH,Aymes Shake powder 57g sachets chocolate,liquidfood.oral
0913011B0BBAAAA,Aymes ActaSolve Smoothie powder 66g sachets mango,liquidfood.oral
0913011C0BFAAAC,Foodlink Complete powder 57g sachets banana,liquidfood.oral
0913011E0BEADAD,Scandishake Mix oral powder 85g sachets strawberry,liquidfood.oral
0913011E0BEADAD,Scandishake Mix oral powder 85g sachets strawberry,powderfoodmix.oral
0913011E0BEACAD,Scandishake Mix oral powder 85g sachets chocolate,liquidfood.oral
0913011E0BEACAD,Scandishake Mix oral powder 85g sachets chocolate,powderfoodmix.oral
0913011F0BBAEAA,Aymes Shake Compact powder 57g sachets strawberry,liquidfood.oral
0913011F0BBAFAA,Aymes Shake Compact powder 57g sachets vanilla,liquidfood.oral
0913011C0BBAIAH,Aymes Shake powder (5 flavours),liquidfood.oral
0913011C0BCAAAA,Complan Shake oral powder 57g sachets banana,liquidfood.oral
0913011E0BEAFAD,Scandishake Mix oral powder 85g sachets vanilla,powderfoodmix.oral
0913011E0BEAFAD,Scandishake Mix oral powder 85g sachets vanilla,liquidfood.oral
0913011A0BBAAAA,Aymes ActaSolve Savoury powder 57g sachets chicken,liquidfood.oral
0913011C0BFADAC,Foodlink Complete powder 57g sachets strawberry,liquidfood.oral
0913011C0BCADAA,Complan Shake oral powder 57g sachets strawberry,liquidfood.oral
0913011C0BFAEAC,Foodlink Complete powder 57g sachets vanilla,liquidfood.oral
0913011F0BBABAA,Aymes Shake Compact powder 57g sachets chocolate,liquidfood.oral
0913011C0BFAFAC,Foodlink Complete powder (5 flavours),liquidfood.oral
0913011C0BBAEAH,Aymes Shake powder 57g sachets neutral,liquidfood.oral
0913011E0BDAAAC,Enshake oral powder 96.5g sachets banana,liquidfood.oral
0913011F0BCABAD,Foodlink Complete Compact powder 57g sachets banana,liquidfood.oral
0913011C0BEAAAB,Ensure Shake oral powder 57g sachets banana,liquidfood.oral
0913011E0BDACAC,Enshake oral powder 96.5g sachets strawberry,liquidfood.oral
0913011C0BFABAC,Foodlink Complete powder 57g sachets chocolate,liquidfood.oral
0913011C0BCAEAA,Complan Shake oral powder 57g sachets vanilla,liquidfood.oral
0913011B0BBABAA,Aymes ActaSolve Smoothie powder 66g sachets peach,liquidfood.oral
0913011G0BBABAB,Aymes ActaSolve Delight powder 57g sachets butterscotch,liquidfood.oral
0913011A0BBABAA,Aymes ActaSolve Savoury powder 57g sachets vegetable,liquidfood.oral
0913011C0BCABAA,Complan Shake oral powder 57g sachets chocolate,liquidfood.oral
0913011C0BBAHAG,Aymes Shake Starter Pack powder,Formulation not specified
0913011E0BDADAC,Enshake oral powder 96.5g sachets vanilla,liquidfood.oral
0913011C0BEACAB,Ensure Shake oral powder 57g sachets strawberry,liquidfood.oral
0913011F0BCAEAD,Foodlink Complete Compact powder 57g sachets strawberry,liquidfood.oral
0913011B0BBACAA,Aymes ActaSolve Smoothie powder 66g sachets pineapple,liquidfood.oral
0913011F0BCAFAD,Foodlink Complete Compact powder 57g sachets vanilla,liquidfood.oral
0913011E0BDABAC,Enshake oral powder 96.5g sachets chocolate,liquidfood.oral
0913011E0BEAEAD,Scandishake Mix oral powder 85g sachets unflavoured,powderfoodmix.oral
0913011E0BEAEAD,Scandishake Mix oral powder 85g sachets unflavoured,liquidfood.oral
0913011C0BEADAB,Ensure Shake oral powder 57g sachets vanilla,liquidfood.oral
0913011H0BBABAB,Aymes ActaSolve Protein Compact powder 57g sachets banana,liquidfood.oral
0913011F0BBADAA,Aymes Shake Compact powder 57g sachets neutral,liquidfood.oral
0913011F0BCACAD,Foodlink Complete Compact powder 57g sachets chocolate,liquidfood.oral
0913011B0BCABAD,Foodlink Smoothie powder 66g sachets orange & mango,liquidfood.oral
0913011E0BCAEAB,Calshake powder 90g sachets chocolate,liquidfood.oral
0913011E0BEABAD,Scandishake Mix oral powder 85g sachets caramel,powderfoodmix.oral
0913011E0BEABAD,Scandishake Mix oral powder 85g sachets caramel,liquidfood.oral
0913011C0BFACAC,Foodlink Complete powder 57g sachets natural,liquidfood.oral
0913011E0BBAAAA,Aymes ActaSolve High Energy powder 85g sachets banana,liquidfood.oral
0913011D0BCAAAB,Foodlink Complete powder with fibre 63g sachets banana,liquidfood.oral
0913011E0BCAAAB,Calshake powder 87g sachets banana,liquidfood.oral
0913011G0BBADAB,Aymes ActaSolve Delight powder 57g sachets mixed berries,liquidfood.oral
0913011A0BBACAA,Aymes ActaSolve Savoury powder 57g sachets potato & leek,liquidfood.oral
0913011C0BEABAB,Ensure Shake oral powder 57g sachets chocolate,liquidfood.oral
0913011E0BCACAB,Calshake powder 87g sachets strawberry,liquidfood.oral
0913011E0BFAAAF,Foodlink Extra powder 85g sachets banana,liquidfood.oral
0913011C0BBADAH,Aymes Shake powder 57g sachets ginger,liquidfood.oral
0913011H0BBAFAB,Aymes ActaSolve Protein Compact powder 57g sachets vanilla,liquidfood.oral
0913011F0BCADAD,Foodlink Complete Compact powder 57g sachets natural,liquidfood.oral
0913011B0BCADAD,Foodlink Smoothie powder 66g sachets red berry,liquidfood.oral
0913011D0BCADAB,Foodlink Complete powder with fibre 63g sachets strawberry,liquidfood.oral
0913011E0BBACAA,Aymes ActaSolve High Energy powder 85g sachets strawberry,liquidfood.oral
0913011C0BCACAA,Complan Shake oral powder 57g sachets milk,liquidfood.oral
0913011E0BCADAB,Calshake powder 87g sachets vanilla,liquidfood.oral
0913011F0BBAGAB,Aymes Shake Compact Starter Pack powder,Formulation not specified
0913011C0BFAGAF,Foodlink Complete Starter Pack powder,Formulation not specified
0913011D0BBABAD,Aymes Shake Fibre powder 57g sachets banana,liquidfood.oral
0913011D0BCAEAB,Foodlink Complete powder with fibre 63g sachets vanilla,liquidfood.oral
0913011E0BFACAF,Foodlink Extra powder 85g sachets strawberry,liquidfood.oral
0913011F0BBACAA,Aymes Shake Compact powder 57g sachets ginger,liquidfood.oral
0913011E0BBADAA,Aymes ActaSolve High Energy powder 85g sachets vanilla,liquidfood.oral
0913011E0BBABAA,Aymes ActaSolve High Energy powder 85g sachets chocolate,liquidfood.oral
0913011G0BBACAB,Aymes ActaSolve Delight powder 57g sachets lemon,liquidfood.oral
0913011D0BCABAB,Foodlink Complete powder with fibre 63g sachets chocolate,liquidfood.oral
0913011E0BFADAF,Foodlink Extra powder 85g sachets vanilla,liquidfood.oral
0913011B0BBAEAB,Aymes ActaSolve Smoothie Starter Pack powder,Formulation not specified
0913011B0BCAEAD,Foodlink Smoothie powder 66g sachets tropical,liquidfood.oral
0913011B0BCACAD,Foodlink Smoothie powder 66g sachets peach,liquidfood.oral
0913011H0BBACAB,Aymes ActaSolve Protein Compact powder 57g sachets chocolate,liquidfood.oral
0913011E0BCABAB,Calshake powder 87g sachets neutral,liquidfood.oral
0913011D0BBAEAD,Aymes Shake Fibre powder 57g sachets strawberry,liquidfood.oral
0913011E0BFABAF,Foodlink Extra powder 85g sachets chocolate,liquidfood.oral
0913011D0BBAFAD,Aymes Shake Fibre powder 57g sachets vanilla,liquidfood.oral
0913011H0BBADAB,Aymes ActaSolve Protein Compact powder 57g sachets neutral,liquidfood.oral
0913011D0BCACAB,Foodlink Complete powder with fibre 63g sachets natural,liquidfood.oral
0913011D0BBADAD,Aymes Shake Fibre powder 57g sachets neutral,liquidfood.oral
0913011D0BBACAD,Aymes Shake Fibre powder 57g sachets chocolate,liquidfood.oral
0913011C0BDABAJ,EnergieShake Powder oral powder 57g sachets banana,liquidfood.oral
0913011C0BGAAAD,Fresubin Powder Extra oral powder 62g sachets chocolate,liquidfood.oral
0913011C0BGACAD,Fresubin Powder Extra oral powder 62g sachets strawberry,liquidfood.oral
0913011A0BBADAB,Aymes ActaSolve Savoury Starter Pack powder,Formulation not specified
0913011C0BGADAD,Fresubin Powder Extra oral powder 62g sachets vanilla,liquidfood.oral
0913011C0BDAFAJ,EnergieShake Powder oral powder 57g sachets vanilla,liquidfood.oral
0913011C0BDAEAJ,EnergieShake Powder oral powder 57g sachets strawberry,liquidfood.oral
0913011C0BDACAJ,EnergieShake Powder oral powder 57g sachets chocolate,liquidfood.oral
0913011H0BBAAAA,Aymes ActaSolve Protein Compact Starter Pack powder,Formulation not specified
0913011C0BDAAAI,EnergieShake Powder Starter Pack oral powder sachets,Formulation not specified
0913011G0BBAAAA,Aymes ActaSolve Delight Starter Pack powder,Formulation not specified
0913011D0BCAFAA,Foodlink Complete powder with fibre Starter Pack,Formulation not specified
0913011C0BGABAD,Fresubin Powder Extra oral powder 62g sachets neutral,liquidfood.oral
0913011C0BDADAJ,EnergieShake Powder oral powder 57g sachets neutral,liquidfood.oral
0913011E0BBAEAE,Aymes ActaSolve High Energy Starter Pack powder,Formulation not specified
0913011D0BBAAAC,Aymes Shake Fibre Starter Pack powder,Formulation not specified
0913011C0BFAHAK,Foodlink Aqua powder (4 flavours),liquidfood.oral
0913011D0BBAAAC,Aymes Actasolve Shake Fibre Starter Pack powder,Formulation not specified
0913011F0AAADAD,Generic Foodlink Complete Compact powder 57g sachets,liquidfood.oral
0913011C0AAACAC,Generic Foodlink Complete powder,liquidfood.oral
0913011C0AAAJAJ,Generic EnergieShake Powder oral powder 57g sachets,liquidfood.oral
