chemical,total_items,total_cost,number_of_products,number_of_practices,formulation_descr,unit_of_measure
Ready to serve 1.5 kcal/ml milkshake (0913011),148309952,2868829599.352396,20,10150,liquidfood.oral,ml
Ready to serve 1.5 kcal/ml milkshake (0913011),118662035,2215068091.4229426,8,9202,liquidfood.gastroenteral,ml
Ready to serve 1.5 kcal/ml juice style (0913011),19472926,607726682.8849499,9,9572,liquidfood.oral,ml
Ready to serve 2.4 kcal/ml milkshake lower volume (0913011),17417922,850101587.456801,10,9587,liquidfood.oral,ml
Powder 1.6 kcal/ml milkshake (0913011),12233034,190549243.05186012,38,9122,liquidfood.oral,sachet
Ready to serve 1.5 kcal/ml juice style (0913011),8779636,279794021.5490797,1,8193,liquidfood.gastroenteral,ml
Ready to serve 2.4 kcal/ml milkshake lower volume (0913011),5217370,298038535.3612399,2,8105,liquidfood.gastroenteral,ml
"RtS  2.4 kcal/ml m/sk lower volume, higher protein (0913011)",4914003,359499588.4255999,4,8177,liquidfood.oral,ml
RtS 1.4 - 2 kcal/g dessert style (milk based) (0913011),3437169,147944828.15397984,22,8476,grocerysemisolid.oral,gram
"RtS 2-2.4 kcal/ml m/sk higher protein,higher energy(0913011)",3053776,203730459.34951013,9,8586,liquidfood.oral,ml
Powder 1.6 kcal/ml milkshake (0913011),2832345,48820252.39851002,22,7838,liquidfood.oral,gram
RtS 1.5 - 1.6 kcal/ml milkshake with fibre (0913011),2442486,138714720.18435004,3,7159,liquidfood.oral,ml
Ready to serve 1 - 1.3 kcal/ml m/sk lower energy (0913011),2255762,90198397.26113997,2,8388,liquidfood.oral,ml
RtS 1.5 - 1.6 kcal/ml milkshake higher protein (0913011),2094557,86084184.43670005,7,8561,liquidfood.oral,ml
RtS 1.5 - 1.6 kcal/ml milkshake with fibre (0913011),1775601,103667873.69982003,2,6405,liquidfood.gastroenteral,ml
Ready to serve 1 - 1.3 kcal/ml m/sk lower energy (0913011),1720414,67711592.61154003,1,8164,liquidfood.gastroenteral,ml
Powder 2.3 - 2.4 kcal/ml milkshake lower volume (0913011),1192900,21123242.543220006,13,6611,liquidfood.oral,sachet
"Powder 2 kcal/ml m/sk higher volume, higher energy (0913011)",827621,48396560.31318002,25,8328,liquidfood.oral,sachet
"RtS 2-2.4 kcal/ml m/sk higher protein,higher energy(0913011)",782267,71912055.63001995,2,6266,liquidfood.gastroenteral,ml
RtS 2 - 2.4 kcal/ml m/sk lower volume with fibre (0913011),528932,47619853.75436001,3,7376,liquidfood.oral,ml
Ready to serve 2.4 kcal/ml milkshake lower volume (0913011),528863,26511082.171880018,3,6991,Formulation not specified,ml
"Powder 2 kcal/ml m/sk higher volume, higher energy (0913011)",496257,29736762.020769984,7,7547,powderfoodmix.oral,sachet
Powder 1.5 kcal/ml smoothie plant based (0913011),412280,12620630.948160002,9,5972,liquidfood.oral,sachet
Powder 1.6 kcal/ml milkshake (0913011),339475,5982545.611559999,4,7043,Formulation not specified,sachet
"RtS 2 kcal/ml m/sk high protein, high energy+fibre (0913011)",326551,17167560.86011999,3,5239,liquidfood.oral,ml
RtS 1.5 - 1.6 kcal/ml milkshake higher protein (0913011),294142,17365085.339679997,1,6141,liquidfood.gastroenteral,ml
Ready to serve 2.4 kcal/ml milkshake higher volume (0913011),249336,9129190.513109997,2,5581,liquidfood.oral,ml
Powder 1 - 2.2 kcal/ml soup (0913011),230688,4619657.992919999,4,5574,liquidfood.oral,sachet
Powder 1.4 - 1.6 kcal/ml milkshake with fibre (0913011),140788,3492050.487540001,11,3454,liquidfood.oral,sachet
"RtS 2 kcal/ml m/sk high protein, high energy+fibre (0913011)",130867,3755020.347069997,1,2342,liquidfood.gastroenteral,ml
"RtS  2.4 kcal/ml m/sk lower volume, higher protein (0913011)",111408,7268527.236839986,1,4161,Formulation not specified,ml
Powder 2.6 kcal/g dessert style (milk based) (0913011),71684,2186134.358319999,4,2503,liquidfood.oral,sachet
Ready to serve 1.5 kcal/ml milkshake (0913011),63649,1921581.7543699995,3,3813,Formulation not specified,ml
"Pdr 2.4 kcal/ml m/sk lower volume, higher protein (0913011)",43732,1533414.7400799997,6,2258,liquidfood.oral,sachet
Ready to serve 1.5 kcal/ml milkshake plant based (0913011),27876,1942263.7668400006,3,3344,liquidfood.oral,ml
RtS 1.4 - 2 kcal/g dessert style (milk based) (0913011),26752,1467444.322940001,2,2393,Formulation not specified,gram
Powder 2.3 - 2.4 kcal/ml milkshake lower volume (0913011),22938,431147.66261999984,2,2547,Formulation not specified,sachet
Ready to serve 1.5 kcal/ml juice style (0913011),21507,826879.6209499995,4,3102,Formulation not specified,ml
Powder 1.5 kcal/ml smoothie plant based (0913011),5790,171310.3378699998,2,1918,Formulation not specified,sachet
Ready to serve 2.4 kcal/ml milkshake higher volume (0913011),4044,146295.32259999993,2,1192,Formulation not specified,ml
"RtS 2-2.4 kcal/ml m/sk higher protein,higher energy(0913011)",3960,167140.75320999997,3,1216,Formulation not specified,ml
Ready to serve 1.5 kcal/ml yoghurt style drink (0913011),3855,139488.38681999999,2,722,liquidfood.oral,ml
RtS 1.5 - 1.6 kcal/ml milkshake higher protein (0913011),1821,88514.95694999992,1,502,Formulation not specified,ml
RtS 1.6 kcal/g dessert style (fruit based) (0913011),1606,77400.1292,1,420,grocerysemisolid.oral,gram
Powder 1 - 2.2 kcal/ml soup (0913011),1385,21747.72613999999,1,677,Formulation not specified,sachet
Powder 1.4 - 1.6 kcal/ml milkshake with fibre (0913011),1146,23890.118600000005,2,340,Formulation not specified,sachet
Powder 2.6 kcal/g dessert style (milk based) (0913011),672,15608.819710000005,1,330,Formulation not specified,sachet
Powder 1.6 kcal/ml milkshake (0913011),584,10959.407229999993,1,131,Formulation not specified,gram
"Powder 2 kcal/ml m/sk higher volume, higher energy (0913011)",535,24253.262789999993,2,316,Formulation not specified,sachet
"Pdr 2.4 kcal/ml m/sk lower volume, higher protein (0913011)",395,9322.878980000001,1,202,Formulation not specified,sachet
"RtS 2 kcal/ml m/sk high protein, high energy+fibre (0913011)",48,2440.34084,1,21,Formulation not specified,ml
"RtS  2.4 kcal/ml m/sk high volume, higher protein (0913011)",13,625.77003,1,10,liquidfood.oral,ml
Ready to serve 1 - 1.3 kcal/ml m/sk lower energy (0913011),9,263.02189,1,7,liquid.oral,ml
